DISTANCE,IBD_LEFT,IBD_RIGHT,IBD_MID,NR_PAIRS,COUNT,DISTANCE_INDEX,BIN_INDEX
1081.76013,0.025,0.05,0.037500000000000006,1,1,119,3

1081.663955,0.004,0.01,0.007,1,21,120,1

1081.663955,0.01,0.025,0.0175,1,10,120,2

1081.663955,0.025,0.05,0.037500000000000006,1,0,120,3

1081.725651,0.004,0.01,0.007,1,26,121,1

1081.725651,0.01,0.025,0.0175,1,7,121,2

1081.725651,0.025,0.05,0.037500000000000006,1,0,121,3

1081.713879,0.004,0.01,0.007,1,30,122,1

1081.713879,0.01,0.025,0.0175,1,9,122,2

1081.713879,0.025,0.05,0.037500000000000006,1,2,122,3

1081.673878,0.004,0.01,0.007,1,20,123,1

1081.673878,0.01,0.025,0.0175,1,10,123,2

1081.673878,0.025,0.05,0.037500000000000006,1,0,123,3

1081.721482,0.004,0.01,0.007,1,29,124,1

1081.721482,0.01,0.025,0.0175,1,7,124,2

1081.721482,0.025,0.05,0.037500000000000006,1,1,124,3

1081.709749,0.004,0.01,0.007,1,25,125,1

1081.709749,0.01,0.025,0.0175,1,8,125,2

1081.709749,0.025,0.05,0.037500000000000006,1,2,125,3

1081.709311,0.004,0.01,0.007,1,23,126,1

1081.709311,0.01,0.025,0.0175,1,9,126,2

1081.709311,0.025,0.05,0.037500000000000006,1,3,126,3

1081.777598,0.004,0.01,0.007,1,20,127,1

1081.777598,0.01,0.025,0.0175,1,10,127,2

1081.777598,0.025,0.05,0.037500000000000006,1,4,127,3

1081.737594,0.004,0.01,0.007,1,22,128,1

1081.737594,0.01,0.025,0.0175,1,4,128,2

1081.737594,0.025,0.05,0.037500000000000006,1,2,128,3

1716.069662,0.004,0.01,0.007,1,38,129,1

1716.069662,0.01,0.025,0.0175,1,8,129,2

1716.069662,0.025,0.05,0.037500000000000006,1,3,129,3

1716.035006,0.004,0.01,0.007,1,25,130,1

1716.035006,0.01,0.025,0.0175,1,3,130,2

1716.035006,0.025,0.05,0.037500000000000006,1,1,130,3

1716.025634,0.004,0.01,0.007,1,30,131,1

1716.025634,0.01,0.025,0.0175,1,11,131,2

1716.025634,0.025,0.05,0.037500000000000006,1,1,131,3

1716.022393,0.004,0.01,0.007,1,26,132,1

1716.022393,0.01,0.025,0.0175,1,9,132,2

1716.022393,0.025,0.05,0.037500000000000006,1,1,132,3

1899.954081,0.004,0.01,0.007,1,17,133,1

1899.954081,0.01,0.025,0.0175,1,2,133,2

1899.954081,0.025,0.05,0.037500000000000006,1,1,133,3

1899.978375,0.004,0.01,0.007,1,26,134,1

1899.978375,0.01,0.025,0.0175,1,8,134,2

1899.978375,0.025,0.05,0.037500000000000006,1,2,134,3

1899.906157,0.004,0.01,0.007,1,20,135,1

1899.906157,0.01,0.025,0.0175,1,5,135,2

1899.906157,0.025,0.05,0.037500000000000006,1,1,135,3

1900.004357,0.004,0.01,0.007,1,20,136,1

1900.004357,0.01,0.025,0.0175,1,6,136,2

1900.004357,0.025,0.05,0.037500000000000006,1,1,136,3

1899.991978,0.004,0.01,0.007,1,21,137,1

1899.991978,0.01,0.025,0.0175,1,8,137,2

1899.991978,0.025,0.05,0.037500000000000006,1,3,137,3

1900.040594,0.004,0.01,0.007,1,18,138,1

1900.040594,0.01,0.025,0.0175,1,5,138,2

1900.040594,0.025,0.05,0.037500000000000006,1,0,138,3

1900.024012,0.004,0.01,0.007,1,12,139,1

1900.024012,0.01,0.025,0.0175,1,5,139,2

1900.024012,0.025,0.05,0.037500000000000006,1,2,139,3

1899.979826,0.004,0.01,0.007,1,18,140,1

1899.979826,0.01,0.025,0.0175,1,6,140,2

1899.979826,0.025,0.05,0.037500000000000006,1,2,140,3

1900.020247,0.004,0.01,0.007,1,25,141,1

1900.020247,0.01,0.025,0.0175,1,9,141,2

1900.020247,0.025,0.05,0.037500000000000006,1,1,141,3

0.047675,0.004,0.01,0.007,1,43,142,1

0.047675,0.01,0.025,0.0175,1,15,142,2

0.047675,0.025,0.05,0.037500000000000006,1,3,142,3

0.052584,0.004,0.01,0.007,1,41,143,1

0.052584,0.01,0.025,0.0175,1,13,143,2

0.052584,0.025,0.05,0.037500000000000006,1,3,143,3

0.040293,0.004,0.01,0.007,1,39,144,1

0.040293,0.01,0.025,0.0175,1,16,144,2

0.040293,0.025,0.05,0.037500000000000006,1,5,144,3

0.082392,0.004,0.01,0.007,1,37,145,1

0.082392,0.01,0.025,0.0175,1,12,145,2

0.082392,0.025,0.05,0.037500000000000006,1,1,145,3

0.031624,0.004,0.01,0.007,1,39,146,1

0.031624,0.01,0.025,0.0175,1,22,146,2

0.031624,0.025,0.05,0.037500000000000006,1,3,146,3

0.020549,0.004,0.01,0.007,1,32,147,1

0.020549,0.01,0.025,0.0175,1,17,147,2

0.020549,0.025,0.05,0.037500000000000006,1,2,147,3

388.441829,0.004,0.01,0.007,1,21,148,1

388.441829,0.01,0.025,0.0175,1,11,148,2

388.441829,0.025,0.05,0.037500000000000006,1,2,148,3

388.471515,0.004,0.01,0.007,1,39,149,1

388.471515,0.01,0.025,0.0175,1,8,149,2

388.471515,0.025,0.05,0.037500000000000006,1,2,149,3

388.497166,0.004,0.01,0.007,1,29,150,1

388.497166,0.01,0.025,0.0175,1,10,150,2

388.497166,0.025,0.05,0.037500000000000006,1,4,150,3

2502.470423,0.004,0.01,0.007,1,21,151,1

2502.470423,0.01,0.025,0.0175,1,1,151,2

2502.470423,0.025,0.05,0.037500000000000006,1,0,151,3

2502.489806,0.004,0.01,0.007,1,18,152,1

2502.489806,0.01,0.025,0.0175,1,1,152,2

2502.489806,0.025,0.05,0.037500000000000006,1,0,152,3

2502.545204,0.004,0.01,0.007,1,24,153,1

2502.545204,0.01,0.025,0.0175,1,6,153,2

2502.545204,0.025,0.05,0.037500000000000006,1,0,153,3

743.167377,0.004,0.01,0.007,1,23,154,1

743.167377,0.01,0.025,0.0175,1,7,154,2

743.167377,0.025,0.05,0.037500000000000006,1,3,154,3

743.190407,0.004,0.01,0.007,1,19,155,1

743.190407,0.01,0.025,0.0175,1,8,155,2

743.190407,0.025,0.05,0.037500000000000006,1,3,155,3

743.245772,0.004,0.01,0.007,1,30,156,1

743.245772,0.01,0.025,0.0175,1,3,156,2

743.245772,0.025,0.05,0.037500000000000006,1,1,156,3

743.229551,0.004,0.01,0.007,1,34,157,1

743.229551,0.01,0.025,0.0175,1,3,157,2

743.229551,0.025,0.05,0.037500000000000006,1,2,157,3

743.174203,0.004,0.01,0.007,1,22,158,1

743.174203,0.01,0.025,0.0175,1,5,158,2

743.174203,0.025,0.05,0.037500000000000006,1,2,158,3

743.164976,0.004,0.01,0.007,1,20,159,1

743.164976,0.01,0.025,0.0175,1,7,159,2

