DISTANCE,IBD_LEFT,IBD_RIGHT,IBD_MID,NR_PAIRS,COUNT,DISTANCE_INDEX,BIN_INDEX
70.979,0.004,0.01,0.007,1,28,116,1
70.979,0.01,0.025,0.0175,1,10,116,2
70.979,0.025,0.05,0.037500000000000006,1,1,116,3
73.358,0.004,0.01,0.007,1,33,117,1
73.358,0.01,0.025,0.0175,1,12,117,2
73.358,0.025,0.05,0.037500000000000006,1,3,117,3
75.741,0.004,0.01,0.007,1,34,118,1
75.741,0.01,0.025,0.0175,1,9,118,2
75.741,0.025,0.05,0.037500000000000006,1,1,118,3
78.205,0.004,0.01,0.007,1,25,119,1
78.205,0.01,0.025,0.0175,1,9,119,2
78.205,0.025,0.05,0.037500000000000006,1,2,119,3
80.7,0.004,0.01,0.007,1,24,120,1
80.7,0.01,0.025,0.0175,1,7,120,2
80.7,0.025,0.05,0.037500000000000006,1,1,120,3
83.181,0.004,0.01,0.007,1,30,121,1
83.181,0.01,0.025,0.0175,1,7,121,2
83.181,0.025,0.05,0.037500000000000006,1,1,121,3
85.686,0.004,0.01,0.007,1,32,122,1
85.686,0.01,0.025,0.0175,1,10,122,2
85.686,0.025,0.05,0.037500000000000006,1,0,122,3
90.7,0.004,0.01,0.007,1,24,123,1
90.7,0.01,0.025,0.0175,1,7,123,2
90.7,0.025,0.05,0.037500000000000006,1,2,123,3
93.258,0.004,0.01,0.007,1,25,124,1
93.258,0.01,0.025,0.0175,1,10,124,2
93.258,0.025,0.05,0.037500000000000006,1,1,124,3
95.864,0.004,0.01,0.007,1,29,125,1
95.864,0.01,0.025,0.0175,1,7,125,2
95.864,0.025,0.05,0.037500000000000006,1,3,125,3
98.076,0.004,0.01,0.007,1,23,126,1
98.076,0.01,0.025,0.0175,1,8,126,2
98.076,0.025,0.05,0.037500000000000006,1,3,126,3
100.468,0.004,0.01,0.007,1,25,127,1
100.468,0.01,0.025,0.0175,1,9,127,2
100.468,0.025,0.05,0.037500000000000006,1,2,127,3
103.242,0.004,0.01,0.007,1,24,128,1
103.242,0.01,0.025,0.0175,1,14,128,2
103.242,0.025,0.05,0.037500000000000006,1,1,128,3
105.463,0.004,0.01,0.007,1,34,129,1
105.463,0.01,0.025,0.0175,1,12,129,2
105.463,0.025,0.05,0.037500000000000006,1,1,129,3
107.425,0.004,0.01,0.007,1,32,130,1
107.425,0.01,0.025,0.0175,1,11,130,2
107.425,0.025,0.05,0.037500000000000006,1,1,130,3
119.009,0.004,0.01,0.007,1,30,131,1
119.009,0.01,0.025,0.0175,1,8,131,2
119.009,0.025,0.05,0.037500000000000006,1,0,131,3
120.965,0.004,0.01,0.007,1,32,132,1
120.965,0.01,0.025,0.0175,1,6,132,2
120.965,0.025,0.05,0.037500000000000006,1,1,132,3
122.755,0.004,0.01,0.007,1,43,133,1
122.755,0.01,0.025,0.0175,1,10,133,2
122.755,0.025,0.05,0.037500000000000006,1,1,133,3
125.049,0.004,0.01,0.007,1,28,134,1
125.049,0.01,0.025,0.0175,1,7,134,2
125.049,0.025,0.05,0.037500000000000006,1,3,134,3
126.892,0.004,0.01,0.007,1,31,135,1
126.892,0.01,0.025,0.0175,1,6,135,2
126.892,0.025,0.05,0.037500000000000006,1,0,135,3
128.758,0.004,0.01,0.007,1,26,136,1
128.758,0.01,0.025,0.0175,1,9,136,2
128.758,0.025,0.05,0.037500000000000006,1,2,136,3
137.369,0.004,0.01,0.007,1,28,137,1
